
[INFO] 进入任务目录: /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_heavy_noise_1/results.json/round 18 (score=0.1248)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_heavy_noise_2/results.json/round 12 (score=0.0967)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_heavy_noise_3/results.json/round 18 (score=0.1287)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_heavy_noise_4/results.json/round 20 (score=0.1335)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_heavy_noise_5/results.json/round 8 (score=0.1227)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_light_noise_1/results.json/round 1 (score=0.1386)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_light_noise_2/results.json/round 17 (score=0.6962)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_light_noise_3/results.json/round 4 (score=0.1237)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_light_noise_4/results.json/round 1 (score=0.1393)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_light_noise_5/results.json/round 2 (score=0.8054)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_moderate_noise_1/results.json/round 12 (score=0.1384)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_moderate_noise_2/results.json/round 3 (score=0.1005)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_moderate_noise_3/results.json/round 7 (score=0.7907)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_moderate_noise_4/results.json/round 1 (score=0.1452)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_moderate_noise_5/results.json/round 14 (score=0.1374)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_original_1/results.json/round 8 (score=0.7062)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_original_2/results.json/round 12 (score=0.1222)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_original_3/results.json/round 9 (score=0.1484)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_original_4/results.json/round 8 (score=0.7440)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_original_5/results.json/round 16 (score=0.1357)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_paraphrasing_1/results.json/round 11 (score=0.1316)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_paraphrasing_2/results.json/round 10 (score=0.7925)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_paraphrasing_3/results.json/round 1 (score=0.1067)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_paraphrasing_4/results.json/round 13 (score=0.1448)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_paraphrasing_5/results.json/round 8 (score=0.7979)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_requirements_1/results.json/round 5 (score=0.6250)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_requirements_2/results.json/round 3 (score=0.5250)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_requirements_3/results.json/round 5 (score=0.5298)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_requirements_4/results.json/round 6 (score=0.4758)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/DROP/drop_requirements_5/results.json/round 2 (score=0.5250)

[INFO] 进入任务目录: /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_heavy_noise_1/results.json/round 1 (score=0.7358)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_heavy_noise_2/results.json/round 13 (score=0.9434)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_heavy_noise_3/results.json/round 9 (score=0.8302)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_heavy_noise_4/results.json/round 1 (score=0.8491)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_heavy_noise_5/results.json/round 1 (score=0.8462)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_light_noise_1/results.json/round 1 (score=0.8113)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_light_noise_2/results.json/round 1 (score=0.9245)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_light_noise_3/results.json/round 1 (score=0.7925)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_light_noise_4/results.json/round 1 (score=0.8302)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_light_noise_5/results.json/round 3 (score=0.9038)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_moderate_noise_1/results.json/round 1 (score=0.7925)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_moderate_noise_2/results.json/round 1 (score=0.7925)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_moderate_noise_3/results.json/round 1 (score=0.8302)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_moderate_noise_4/results.json/round 1 (score=0.8302)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_moderate_noise_5/results.json/round 1 (score=0.8654)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_original_1/results.json/round 1 (score=0.8113)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_original_2/results.json/round 1 (score=0.8868)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_original_3/results.json/round 1 (score=0.8868)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_original_4/results.json/round 1 (score=0.8868)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_original_5/results.json/round 1 (score=0.8846)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_paraphrasing_1/results.json/round 1 (score=0.8679)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_paraphrasing_2/results.json/round 1 (score=0.9057)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_paraphrasing_3/results.json/round 1 (score=0.8868)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_paraphrasing_4/results.json/round 1 (score=0.9434)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_paraphrasing_5/results.json/round 1 (score=0.9038)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_requirements_1/results.json/round 1 (score=0.4906)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_requirements_2/results.json/round 10 (score=0.5094)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_requirements_3/results.json/round 7 (score=0.7358)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_requirements_4/results.json/round 13 (score=0.5849)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/GSM8K/gsm8k_requirements_5/results.json/round 1 (score=0.6923)

[INFO] 进入任务目录: /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_heavy_noise_1/results.json/round 3 (score=0.1586)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_heavy_noise_2/results.json/round 18 (score=0.1787)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_heavy_noise_3/results.json/round 21 (score=0.5388)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_heavy_noise_4/results.json/round 2 (score=0.1666)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_heavy_noise_5/results.json/round 3 (score=0.2252)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_light_noise_1/results.json/round 16 (score=0.1674)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_light_noise_2/results.json/round 7 (score=0.6131)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_light_noise_3/results.json/round 8 (score=0.1878)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_light_noise_4/results.json/round 3 (score=0.1764)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_light_noise_5/results.json/round 10 (score=0.2840)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_moderate_noise_1/results.json/round 16 (score=0.1763)
[BEST] /data/dishimin/RobustFlow/Evaluate/aflow_scripts/HotpotQA/hotpotqa_moderate_noise_2/results.json/round 4 (score=0.2106)
